agency_id;codelistID;Name;URL
ESTAT;CL_COPNI;COPNI;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COPNI/1.0
SDMX;CL_COPNI_1999;Classification of the Purposes of Non-Profit Institutions Serving Households;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_COPNI_1999/1.0
ESTAT;CL_COPP;COPP;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COPP/1.0
SDMX;CL_COPP_1999;Classification of the Outlays of Producers According to Purpose;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_COPP_1999/1.0
ESTAT;CL_COVERAGE_GEO;Geographical coverage;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COVERAGE_GEO/1.0
ESTAT;CL_COVERAGE_POP;Population coverage;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COVERAGE_POP/1.1.0
IMF;CL_CURRENCY;Currency of issuance or invoicing code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_CURRENCY/1.6
ESTAT;CL_CUST_BREAKDOWN;Custom breakdown code list (NA);https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_CUST_BREAKDOWN/1.6.0
IAEG-SDGs;CL_CUST_BREAKDOWN;SDG custom breakdown code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_CUST_BREAKDOWN/1.14
UNSD;CL_CUSTOMS_PROC;CL_CUSTOMS_PROC;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_CUSTOMS_PROC/1.0
SDMX;CL_DECIMALS;Decimals;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_DECIMALS/1.0
SDMX;CL_DEG_URB;Code list for degree of urbanisation;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_DEG_URB/1.0
ESTAT;CL_DEMAND_PROD;Demand or production;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_DEMAND_PROD/1.0
IAEG-SDGs;CL_DISABILITY;Disability status code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_DISABILITY/1.0
ESTAT;CL_EDP_WBB;EDP working balance basis;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_EDP_WBB/1.0
UIS;CL_EDU_TABLEID;Table identifier;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EDU_TABLEID/1.0
UIS;CL_EDUCATION_FIELD;Fields of education;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EDUCATION_FIELD/1.0
IAEG-SDGs;CL_EDUCATION_LEV;SDG Education Level code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_EDUCATION_LEV/1.10
UIS;CL_EDUCATION_LEVEL;Education level;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EDUCATION_LEVEL/1.0
UIS;CL_EDUCATION_TYPE;Education type;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EDUCATION_TYPE/1.0
ESTAT;CL_ENERGY_FLOWS;Energy flows;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ENERGY_FLOWS/1.2
UIS;CL_EXPENDITURE_TYPE;Expenditure type;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EXPENDITURE_TYPE/1.0
OECD;CL_FDI_RELATION;FDI relationship code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_FDI_RELATION/1.0
SDMX;CL_FREQ;"Code list for concept ""Frequency""";https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_FREQ/2.1
IMF;CL_FSENTRY;Flow or stock entry code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_FSENTRY/1.1
IMF;CL_FUNCTIONAL_CAT;Functional category code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_FUNCTIONAL_CAT/1.10.1
IAEG-SDGs;CL_GEO_INFO_TYPE;Geoinformation type code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_GEO_INFO_TYPE/1.0
ESTAT;CL_GFS_ECOFUNC;GFS economic function;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_GFS_ECOFUNC/1.0
ESTAT;CL_GFS_TAXCAT;GFS tax category;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_GFS_TAXCAT/1.2
IMF;CL_GFSM_STO;Stocks, Transactions, Other Flows;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_GFSM_STO/1.0
UIS;CL_GRADE;Grade;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_GRADE/1.0
ESTAT;CL_IDX_TYPE;Index type;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_IDX_TYPE/1.0
ESTAT;CL_IND_TYPE;Indicator type;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_IND_TYPE/1.1
ESTAT;CL_INSTR_ASSET;Instrument and Assets Classification;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_INSTR_ASSET/1.14.0
ESTAT;CL_INSTR_ASSET93;Instrument and Assets Clasification (SNA93);https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_INSTR_ASSET93/1.5
UIS;CL_INTENSITY;Intensity;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_INTENSITY/1.0
ESTAT;CL_INTERACTORS;Units interacting with the environment;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_INTERACTORS/1.3
ESTAT;CL_ITEM_PRICE;Item in the classification;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ITEM_PRICE/2.0
ESTAT;CL_LAND_COVER;Land cover;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_LAND_COVER/1.0
